id,latitude,longitude,territory
3702,47.1964649657537,-80.9100124498889,ON
3714,47.1964649657537,-79.6579943402227,ON
3721,47.1964649657537,-64.6337770242281,PE
3722,47.1964649657537,-63.3817589145618,PE
3724,47.1964649657537,-70.8938675725591,QC
3740,47.1964649657537,-70.8938675725591,QC
3741,47.1964649657537,-69.6418494628929,QC
3742,47.1964649657537,-68.3898313532267,QC
3881,47.1964649657537,-73.3979037918916,QC
3882,47.1964649657537,-72.1458856822253,QC
3883,47.1964649657537,-70.8938675725591,QC
3893,47.1964649657537,-79.6579943402227,QC
3894,47.1964649657537,-78.4059762305564,QC
3895,47.1964649657537,-77.1539581208902,QC
3896,47.1964649657537,-75.901940011224,QC
3897,47.1964649657537,-74.6499219015578,QC
423,47.9281033766849,-124.104637233373,BC
