latitude,longitude
53.53771542,10.45000226
53.91876678,10.45000226
54.29981813,10.45000226
47.63141942,10.78000241
48.01247077,10.78000241
48.39352213,10.78000241
48.77457348,10.78000241
49.15562484,10.78000241
49.53667619,10.78000241
49.91772755,10.78000241
50.29877890,10.78000241
50.67983026,10.78000241
51.06088161,10.78000241
51.44193297,10.78000241
51.82298432,10.78000241
52.20403568,10.78000241
52.58508704,10.78000241
52.96613839,10.78000241
53.34718975,10.78000241
53.72824110,10.78000241
54.10929246,10.78000241
54.49034381,10.78000241
47.44089374,11.11000256
47.82194509,11.11000256
48.20299645,11.11000256
48.58404780,11.11000256
48.96509916,11.11000256
49.34615052,11.11000256
49.72720187,11.11000256
50.10825323,11.11000256
50.48930458,11.11000256
50.87035594,11.11000256
51.25140729,11.11000256
51.63245865,11.11000256
